num_particles,run_time(ns)
100,2238408
500,7382713
1000,9733372
5000,51955081
10000,104372671
50000,490513779
100000,985471200
500000,4862552416
1000000,9917233436
100,1526865
500,4999425
1000,12636292
5000,50239983
10000,102164254
50000,493568181
100000,982934735
500000,4863347966
1000000,10087692055
100,1068144
500,6956693
1000,14904408
5000,53240583
10000,105365274
50000,502839621
100000,1006092654
500000,4883166872
1000000,9930455015
100,1671695
500,4886626
1000,11990929
5000,53533804
10000,100465164
50000,506293105
100000,995613356
500000,4914478915
1000000,9940570022
100,1080394
500,7636395
1000,9798852
5000,53062101
10000,99106549
50000,496656646
100000,990772614
500000,4943608024
1000000,10100100092
